"Service","SageMaker($)","Relational Database Service($)","OpenSearch Service($)","CloudWatch($)","Support (Business)($)","Kinesis($)","S3($)","EC2-Other($)","EC2-Instances($)","Savings Plans for  Compute usage($)","API Gateway($)","DynamoDB($)","Managed Service for Prometheus($)","MemoryDB($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","GuardDuty($)","VPC($)","Kinesis Firehose($)","Key Management Service($)","Managed Grafana($)","ElastiCache($)","Secrets Manager($)","Lambda($)","Inspector($)","Cognito($)","DMS($)","Device Farm($)","EC2 Container Registry (ECR)($)","Directory Service($)","Pinpoint($)","CodeWhisperer($)","SES($)","Route 53($)","Config($)","Elastic File System($)","SQS($)","QuickSight($)","Linux 2 AMI with Support by Supported Images($)","SNS($)","Athena($)","Registrar($)","IoT 1 Click($)","CloudTrail($)","Cloud Map($)","IoT($)","Cost Explorer($)","CloudWatch Events($)","Ubuntu Pro 18.04 LTS($)","CloudFront($)","Systems Manager($)","IoT Device Management($)","AppSync($)","Location Service($)","CloudShell($)","Backup($)","Step Functions($)","Glue($)","X-Ray($)","Elastic Container Service($)","Tax($)","DataZone($)","Service Catalog($)","CloudFormation($)","Total costs($)"
"Service total","72535.4681001305","58392.0337600347","41749.4323812972","35296.3591854","20905.4993962967","19199.6416185482","18165.5742244946","14281.9903280783","13199.4262035071","11604.6","8349.9190382233","7519.8612260104","5159.6511585245","4198.5869172386","3927.7401449782","3384.360899557","3080.7152349924","2474.9015726301","2141.4670324661","1827.3329604781","1820","1321.206","1257.2106213752","914.0286512398","872.5377041442","809.465","553.2742564209","429.4823333334","367.342427158","302.8283098065","239.9999990952","189.999335","171.6280397282","151.8966390021","123.525","70.537376903","54.9326195994","46.419354096","41.72","26.3425112969","18.479025","15","3","2.453765","1.200000048","0.1711341","0.09","0.01314","0.003","0.0014051381","0.000468","0.00006","0.0000328425","0.00001","0.0000035869","0.0000026142","4.91e-8","0","0","0","0","0","0","0","357199.3496074636"
"2023-09-01","4849.3526982023","3024.4860400985","2602.4512243754","1959.3899329303","1285.7958954245","852.1375004119","1192.1923809445","963.4087672831","1674.4970033644","","417.8400190261","350.337024425","270.7134864659","","247.3070149083","144","159.8109458238","117.5352623446","152.1126458757","24.5626289022","125","","113.1849144775","54.4540267571","65.8705292171","64.525","35.7119675205","17.5978333334","30.0593929852","","20.000000088","18.99981","5.8468288298","8.765117999","8.907","0.5246542584","1.2190528317","","","6.2926957052","1.88562","","0.25","0.188123","0.100000008","","","0.000996","","0.0000003525","","","0.0000055613","","","","","0","0","0","0","","","","20867.3140397312"
"2023-10-01","5028.909347786","3874.8793913927","2655.3539493791","1845.0737958538","1361.7532932464","923.2230450462","1229.224340295","1092.3314057654","1769.212374156","","470.559260746","456.190824425","273.0910770301","53.9520098718","303.2015631024","148.8","163.7227756905","126.4049547635","168.4539047632","34.2081554964","96","37.944","118.3556108594","74.6400096102","73.7629686508","60.815","100.8616607579","113.0613333333","30.1032313057","","19.9999998288","18.999962","41.0038623374","10.4083495519","11.057","0.5246527296","3.0308432","","","6.719898804","","","0.25","0.205047","0.0999999984","","","0.001173","0.003","0.0000003469","","","0.0000272812","","","","0.0000000017","0","0","0","0","","","","22796.3930994067"
"2023-11-01","4872.3093709072","5552.3169250725","2650.099504176","1726.4478044246","1453.2385684597","919.2060672072","1269.7782066729","1091.2592720862","1758.1845588408","","461.7049231629","465.660024425","265.5450519235","378.7238730998","314.1734937448","144","171.6645465349","139.4294689611","170.2043696818","38.3604877997","114","73.644","122.4916999389","253.0261997932","66.0598094369","64.16","142.5126249957","80.9936666667","30.2390384905","","20.000000088","18.99981","8.8493567898","11.809344797","11.022","0.524725315","4.1317650035","","","0.7671879332","0.62095","","0.25","0.193441","0.100000008","","","0.001196","","0.0000001144","0","","","","0.0000024455","","0.0000000254","0","0","0","0","0","","","24866.7033360223"
"2023-12-01","5028.7182831799","5339.8254629068","2720.8647236721","1800.3184626252","1460.993893097","954.6284229158","1297.1087539066","1080.3609723099","437.2125511698","1063.8","482.3540602834","481.665624425","269.4121164909","392.550062802","317.1050675108","148.8","174.8148146088","144.0546553321","168.4094487505","41.0152422307","110","75.888","125.9422978982","87.8491765142","69.3740118278","46.035","36.952","","30.3716563992","9.8697009164","19.9999998288","18.999962","7.4345123317","11.9840271985","11.66","0.5247254184","4.8131970942","","","0.1118249646","","","0.25","0.185427","0.0999999984","","","0.000891","","0.000030898","0","","","","","","","0","0","0","0","","0","","24472.3590595057"
"2024-01-01","4560.3699157832","4452.5087678259","2836.4531192048","1805.0819747162","1449.2035451711","1137.2444731075","1537.1178282836","1130.2009374928","240.6421720243","1339.2","505.3006132219","613.392024425","274.6434270888","428.5480069221","284.1718274453","148.8","184.1185856984","144.1313965798","168.6002730902","53.8601279804","106","90.882","128.144267838","8.3113975972","75.0095027366","61.465","7.003","12.4525","30.4263641471","37.3453983608","19.9999998288","18.999962","9.8713679373","12.2168319985","13.646","0.524745528","4.8743693368","","","1.728619629","","","0.25","0.194702","0.0999999984","","","0.001269","","0.0000333522","0","","","","","0.0000000045","0.0000000101","0","0","0","0","","","","23933.0363473646"
"2024-02-01","4262.014179255","4391.6895613648","3186.8143120888","1799.0155412337","1522.3410836404","1394.7378033726","1911.6268636214","1172.6533831471","223.3923315082","1252.8","502.6671326894","637.4004252214","353.0512606827","400.8994501305","296.5522695827","139.2","182.8911552141","239.9197410001","158.2226988332","73.4475540744","125","141.984","128.4873946986","13.0953946676","65.1622170016","64.04","25.4790031468","36.8503333334","30.5051328289","34.7688655003","19.9999999416","19.000133","10.8718956722","12.1529359982","8.713","0.5248300964","4.6399609832","","41.72","1.2828231145","","","0.25","0.184924","0.1000000272","","","0.000977","","0.0000761415","0","","","","0.0000000679","0.0000001392","0.0000000017","0","0","0","0","","0","","24886.1506440213"
"2024-03-01","5247.3423983819","4880.853097567","3314.5645331919","4132.6294346407","1961.3235223184","1826.9110669824","2467.7660038911","1207.9451381102","750.7190565125","1339.2","590.6450659915","739.096826444","440.1793697467","428.568610915","348.0978733589","152.145328194","573.5003661641","261.8668294305","169.2290519571","642.3396044766","107","151.776","89.0404297492","16.3885064177","69.8940184563","69.3","","13.294","30.6093401805","37.2570681525","19.9999998288","18.999962","10.112949435","12.6900027985","8.525","0.5248326402","5.1128057499","","","1.5073583706","0.579615","","0.25","0.202667","0.0999999984","","","0.001366","","0.000228909","0","","","","0.0000003752","0.000000381","0.0000000017","0","0","0","0","","","","32138.089329719"
"2024-04-01","5930.7702476304","4808.0904612416","3259.3882236907","3135.0292553868","1806.9983817814","1986.693334905","1748.1977651215","1217.0941048732","881.4902685654","1296","682.9760325303","732.576026444","431.4389413949","414.7694144551","306.4129494736","172.476127695","546.1864439486","250.2943371895","176.2578225606","711.1776487657","135","146.88","83.6637777489","21.808990655","70.7402600788","76.885","42.284","52.9096666666","30.7123631943","35.9454750279","20.000000088","18.99981","11.7861628447","13.026264797","9.867","0.5248324341","4.9861556956","","","2.2487200151","8.2085","","0.25","0.189921","0.100000008","","","0.00109","","0.0001232585","0.000312","","","","","0.000000417","0.0000000034","0","0","0","0","","","","31281.3362135862"
"2024-05-01","9226.9401336116","5568.00622542","5087.6037044763","3532.6101910953","2140.1889866164","2285.4256532338","1285.3457614186","1270.0294778723","1045.9218184055","1339.2","673.0780546299","766.022426444","443.8020650861","428.5959067338","362.6282928343","954.073429332","186.9741272782","259.4360230248","199.7320095228","49.94310725","178","151.776","84.6711016262","144.9157839258","78.1912798033","77.28","162.47","40.936","30.7762815982","37.1408161394","19.9999998288","0","16.1175051978","13.4594218695","12.938","1.5726838109","5.5073839189","","","2.3247255667","7.18434","","0.25","0.192481","0.0999999984","","","0.001434","","0.0001191411","0","","","","0.0000001514","0.0000004185","0.0000000034","0","0","0","0","","0","","38171.362752284"
"2024-06-01","7603.6021622132","5826.0179123891","4121.4760960526","4487.8996614327","2106.6351410975","2223.2804609964","1356.7219313236","1403.6671467542","1861.8803879357","1296","832.8000470995","740.964146444","638.8933800306","414.7753803966","444.0314565325","815.6347285","228.8783043494","265.6992965402","192.5797023402","52.15516655","209","146.88","86.3572111033","103.62646366","83.0200402509","72.545","","40.9105","30.9683018521","35.996541667","20.000000088","0","11.595632835","13.408461597","9.507","8.4375751264","5.3725448","","","2.0716620009","","15","0.25","0.227483","0.100000008","0.00617749","0.09","0.000907","","0.0000506407","0.000156","0.00006","","","","0.000000417","0.0000000017","0","0","0","0","","","","37808.964278516"
"2024-07-01","8251.5516608082","5548.892897169","4768.6286599458","4752.5580527011","2200.5853400209","2306.7666042046","1390.6854261616","1323.0791628626","1643.6702201188","1339.2","1384.154773305","768.790256444","838.35676697","428.6009200757","413.7701501466","267.631285836","250.3321463129","264.9179026587","204.7386786625","51.535542682","283","151.776","88.3517798727","105.5947187713","77.7666045938","67.82","","20.4765","31.2108289233","37.1138182368","19.9999998288","18.999962","15.173237814","15.4441219985","8.585","23.0389030486","5.5319161973","0","","1.2381425563","","","0.25","0.242035","0.0999999984","0.07152018","","0.001045","","0.0003208289","0","","","","","0.0000004185","","0","0","0","0","","0","0","39370.2329023532"
"2024-08-01","7673.5877023716","5124.4670175868","4545.7343310437","4320.3050783596","2156.441745423","2389.3871861648","1479.8089628542","1329.9605595213","912.6034609057","1339.2","1345.8390555374","767.765596444","660.5242156143","428.6032818362","290.288186338","148.8","257.8210233687","261.2117048052","212.9264264283","54.72769427","232","151.776","88.5201355643","30.3179828705","77.6864620903","84.595","","","31.360495253","37.3906258054","19.9999998288","18.999962","22.9647277035","16.5317583985","9.098","33.290216497","5.7126247883","46.419354096","","0.0488526368","","","0.25","0.247514","0.0999999984","0.09343643","","0.000796","","0.0004211544","0","","","0.00001","0.0000005469","0.0000004185","","0","0","0","0","","","0","36607.4076049534"